Sample,Region,Age,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,L.O.I,Total,P,K,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Ge,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Age (Ma),87Rb/86Sr,87Sr/86Sr,2s,(87Sr/86Sr)i,147Sm/144Nd,143Nd/144Nd,2s,TDM(Ga),εNd(t),,,mAl2O3,mCaO,mNa2O,mK2O,mFeO,TFeO,mMgO,Mg#,Na2O/K2O,0.111111111,0.056847545,0.884353741,Ce/Pb,Nb/Ta,nLa,nCe,nPr,nNd,nSm,nEu,nGd,nTb,nDy,nHo,nEr,nTm,nYb,nLu
0075-5,West,Late J,65.01,0.71,14.88,2.34,2.32,0.06,1.92,2.91,4.57,4,0.2,0.84,99.76,,,,,,,,,11.22,,,9.915,,76.87,330.3,8.046,183,5.774,,374.1,19.28,40.15,4.979,17.23,2.804,0.506,1.887,0.278,1.405,0.251,0.694,0.103,0.661,0.102,4.744,0.428,,10.77,1.547,133,,,,,,,,,,,,0.145882353,0.051964286,0.073709677,0.042553191,0.061465722,4.425532,0.048,43.849343,1.1425,0.83677686,1.924603175,1.886877828,#DIV/0!,13.49065421,81.350 ,65.605 ,52.411 ,36.895 ,18.327 ,8.724 ,9.182 ,7.433 ,5.531 ,4.435 ,4.193 ,4.039 ,3.888 ,4.016 
0075-7,West,Late J,64.98,0.72,14.87,2.26,2.47,0.06,1.93,3.3,4.28,4.01,0.2,0.67,99.75,,,,,,,,,10.95,,,10,,77.82,344.1,7.917,188.2,5.419,,347.6,18.1,37.97,4.699,16.47,2.753,0.519,1.792,0.277,1.399,0.251,0.638,0.101,0.661,0.099,4.903,0.412,,10.72,1.545,133,,,,,,,,,,,,0.145784314,0.058928571,0.069032258,0.042659574,0.062549278,4.503548,0.04825,43.54721526,1.067331671,0.87704918,3.443609023,1.889447236,#DIV/0!,13.15291262,76.371 ,62.042 ,49.463 ,35.268 ,17.993 ,8.948 ,8.720 ,7.406 ,5.508 ,4.435 ,3.855 ,3.961 ,3.888 ,3.898 
0075-9,West,Late J,65.32,0.72,14.96,2.13,2.47,0.06,2.03,3.23,4.03,4,0.22,0.56,99.73,,,,,,,,,11.54,,,9.931,,76.89,337.3,7.792,134.1,5.34,,355.9,20.42,43.01,5.223,17.87,2.864,0.521,1.865,0.274,1.384,0.246,0.67,0.096,0.63,0.097,3.545,0.396,,10.98,1.831,133,,,,,,,,,,,,0.146666667,0.057678571,0.065,0.042553191,0.060924639,4.386574,0.05075,45.44451677,1.0075,0.882113821,6.155844156,1.933035714,#DIV/0!,13.48484848,86.160 ,70.278 ,54.979 ,38.266 ,18.719 ,8.983 ,9.075 ,7.326 ,5.449 ,4.346 ,4.048 ,3.765 ,3.706 ,3.819 
0076-1,West,Late J,68.05,0.53,14.71,1.77,1.85,0.04,1.31,2.57,4.22,4.18,0.15,0.39,99.77,,,,,,,,,6.601,,,9.714,,79.68,288.7,5.14,150.1,5.046,,396,20.55,38.19,4.265,13.88,2.043,0.427,1.296,0.183,0.896,0.185,0.454,0.069,0.475,0.082,3918,0.363,,11.92,1.708,133,,,,,,,,,,,,0.144215686,0.045892857,0.068064516,0.044468085,0.047814528,3.442646,0.03275,40.65064477,1.009569378,0.965831435,,2.17535545,#DIV/0!,13.90082645,86.709 ,62.402 ,44.895 ,29.722 ,13.353 ,7.362 ,6.307 ,4.893 ,3.528 ,3.269 ,2.743 ,2.706 ,2.794 ,3.228 
0076-2,West,Mid J,68.46,0.5,14.7,1.73,1.73,0.04,1.27,2.56,4.26,4.01,0.14,0.36,99.76,,,,,,,,,6.417,,,10.12,,82.41,292.9,7.05,127.5,5.922,,406.6,22.06,43.68,5.103,16.84,2.58,0.463,1.627,0.239,1.219,0.219,0.608,0.091,0.598,0.093,3.393,0.476,,11.4,2.068,137,,,,,,,,,,,,0.144117647,0.045714286,0.068709677,0.042659574,0.045647972,3.286654,0.03175,41.02174655,1.06234414,0.997237569,,2.344660194,#DIV/0!,12.44117647,93.080 ,71.373 ,53.716 ,36.060 ,16.863 ,7.983 ,7.917 ,6.390 ,4.799 ,3.869 ,3.674 ,3.569 ,3.518 ,3.661 
0076-5,West,Mid J,67.99,0.5,14.72,1.83,1.8,0.05,1.26,2.46,4.24,4.39,0.14,0.38,99.76,,,,,,,,,6.265,,,9.754,,81.35,275.5,7.172,172.2,5.758,,383.8,21.72,41.95,4.802,15.63,2.392,0.445,1.522,0.236,1.194,0.218,0.617,0.095,0.639,0.1,4.542,0.509,,12.77,1.932,137,,,,,,,,,,,,0.144313725,0.043928571,0.068387097,0.046702128,0.047869917,3.446634,0.0315,39.68758104,0.965831435,1,,3.083333333,#DIV/0!,11.31237721,91.646 ,68.546 ,50.547 ,33.469 ,15.634 ,7.672 ,7.406 ,6.310 ,4.701 ,3.852 ,3.728 ,3.725 ,3.759 ,3.937 
0076-6,West,Mid J,65.49,0.66,15.42,2.13,2.22,0.05,1.82,3.21,4.21,3.96,0.19,0.41,99.77,,,,,,,,,9.774,,,10.12,,78.85,328.6,7.782,122.9,5.477,,353.5,20.52,42.04,5.143,17.53,2.812,0.511,1.817,0.27,1.354,0.243,0.668,0.099,0.65,0.097,3.361,0.464,,12.93,3.094,137,,,,,,,,,,,,0.151176471,0.057321429,0.067903226,0.04212766,0.057452417,4.136574,0.0455,44.19517431,1.063131313,1.0075,,3.272727273,#DIV/0!,11.80387931,86.582 ,68.693 ,54.137 ,37.537 ,18.379 ,8.810 ,8.842 ,7.219 ,5.331 ,4.293 ,4.036 ,3.882 ,3.824 ,3.819 
076-8,West,Mid J,71.65,0.4,13.39,1.56,1.48,0.03,0.94,1.71,3.48,4.68,0.1,0.38,99.8,,,,,,,,,4.985,,,8.902,,88.62,206.9,9.544,141.4,6.34,,277.2,19.59,44.06,5.741,19.14,3.112,0.347,2.018,0.319,1.667,0.304,0.843,0.129,0.84,0.126,4.336,0.694,,20.04,2.327,137,,,,,,,,,,,,0.13127451,0.030535714,0.056129032,0.049787234,0.040051222,2.883688,0.0235,36.97804571,0.743589744,1.009569378,,3.732283465,#DIV/0!,9.135446686,82.658 ,71.993 ,60.432 ,40.985 ,20.340 ,5.983 ,9.820 ,8.529 ,6.563 ,5.371 ,5.094 ,5.059 ,4.941 ,4.961 
0076-9,West,Mid J,72.5,0.3,13.74,1.06,1.15,0.02,0.66,1.51,3.43,5.06,0.06,0.3,99.79,,,,,,,,,3.457,,,8.679,,87.36,209,8.525,75.97,5.277,,286.1,14.66,34.28,4.646,16,2.856,0.319,1.824,0.301,1.588,0.286,0.762,0.114,0.71,0.101,2.572,0.585,,23.39,1.982,137,,,,,,,,,,,,0.134705882,0.026964286,0.055322581,0.053829787,0.029219278,2.103788,0.0165,36.08980894,0.677865613,1.013667426,,4.638888889,#DIV/0!,9.020512821,61.857 ,56.013 ,48.905 ,34.261 ,18.667 ,5.500 ,8.876 ,8.048 ,6.252 ,5.053 ,4.604 ,4.471 ,4.176 ,3.976 
05TH16,West,Late J,56.7,1.17,16.7,6.78,,0.11,3.57,6.03,3.35,3,0.42,2.12,99.95,,,5.95,,140,28.9,,21.8,28,14.8,80.7,20.5,,72.7,981,15.6,222,9.33,1.67,839,36,74.3,9.44,34.9,6.81,1.66,5.27,0.7,3.39,0.61,1.53,0.22,1.34,0.19,5.67,0.51,15.2,4.3,1.57,129.7,0.2175,0.706368,±10,0.705966,0.1099,0.51252,±12,,-0.9,,,0.16372549,0.107678571,0.054032258,0.031914894,0.084731167,6.100644,0.08925,51.29865589,1.116666667,1.050228311,,4.724770642,4.888157895,18.29411765,151.899 ,121.405 ,99.368 ,74.732 ,44.510 ,28.621 ,25.645 ,18.717 ,13.346 ,10.777 ,9.245 ,8.627 ,7.882 ,7.480 
